TOWN|MIN|MAX
STONEHAM, MA|45|85
STOUGHTON, MA|18|28
STOW, MA|55|85
STURBRIDGE, MA|65|100
SUDBURY, MA|40|70
SUNDERLAND, MA|120|160
SUTTON, MA|60|90
SWAMPSCOTT, MA|50|100
SWANSEA, MA|40|55
TAUNTON, MA|30|45
TEMPLETON, MA|80|120
TEWKSBURY, MA|55|85
THORNDIKE, MA|80|120
THREE RIVERS, MA|80|110
TOPSFIELD, MA|60|100
TOWNSEND, MA|75|120
TRURO, MA|100|150
TURNERS FALLS, MA|110|160
TYNGSBORO, MA|55|85
TYRINGHAM, MA|130|170
UPTON, MA|50|70
UXBRIDGE, MA|55|75
VILLAGE OF NAGOG WOODS, MA|50|90
VINEYARD HAVEN, MA|130|150
WABAN, MA|30|50
WAKEFIELD, MA|50|80
WALES, MA|80|120
WALPOLE, MA|26|40
WALTHAM, MA|35|65
WARE, MA|90|130
WAREHAM, MA|40|55
WARREN, MA|80|120
WARWICK, MA|100|150
WATERTOWN, MA|40|65
WAYLAND, MA|40|65
WEBSTER, MA|70|100
WELLESLEY, MA|30|50
WELLESLEY HILLS, MA|28|50
WELLFLEET, MA|100|150
WENDELL, MA|100|150
WENHAM, MA|60|110
WEST BARNSTABLE, MA|60|100
WEST BOYLSTON, MA|65|100
WEST BRIDGEWATER, MA|20|30
WEST BROOKFIELD, MA|85|120
WEST CHATHAM, MA|85|130
WEST CHESTERFIELD, MA|130|180
WEST DENNIS, MA|75|110
WEST HARWICH, MA|75|120
WEST HATFIELD, MA|110|150
WEST HYANNISPORT, MA|75|110
WEST NEWBURY, MA|75|110
WEST NEWTON, MA|30|60
WEST ROXBURY, MA|30|50
WEST SPRINGFIELD, MA|100|140
WEST STOCKBRIDGE, MA|130|170
WEST TISBURY, MA|140|160
WEST TOWNSEND, MA|80|120
WEST WAREHAM, MA|35|50
WEST WARREN, MA|85|120
WEST YARMOUTH, MA|75|110
WESTBOROUGH, MA|50|80
WESTFIELD, MA|100|150
WESTFORD, MA|55|85
WESTMINSTER, MA|70|110
WESTON, MA|35|55
WESTPORT, MA|50|65
WESTPORT POINT, MA|55|70
WESTWOOD, MA|24|40
WEYMOUTH, MA|14|18
WHATELY, MA|110|150
WHEELWRIGHT, MA|90|140
WHITINSVILLE, MA|60|80
WHITMAN, MA|14|18
WILBRAHAM, MA|90|130
WILLIAMSBURG, MA|120|160
WILLIAMSTOWN, MA|170|230
WILMINGTON, MA|50|85
WINCHENDON, MA|85|130
WINCHESTER, MA|45|90
WINDSOR, MA|140|190
WINTHROP, MA|40|70
WOBURN, MA|45|75
WOODS HOLE, MA|65|90
WORCESTER, MA|60|90
WORONOCO, MA|110|160
WORTHINGTON, MA|130|170
WRENTHAM, MA|30|50
YARMOUTH PORT, MA|70|110
